Group Starts,Avg - Delay (Lynden/Aldergrove North Cars),Avg - Queue Length (Lynden/Aldergrove North Cars),Avg - Vehicles In Queue (Lynden/Aldergrove North Cars),Avg - Service Rate (Lynden/Aldergrove North Cars),Avg - Volume (Lynden/Aldergrove North Cars),Avg - Availability (Lynden/Aldergrove North Cars),Avg - Delay (Lynden/Aldergrove North Trucks),Avg - Queue Length (Lynden/Aldergrove North Trucks),Avg - Vehicles In Queue (Lynden/Aldergrove North Trucks),Avg - Service Rate (Lynden/Aldergrove North Trucks),Avg - Volume (Lynden/Aldergrove North Trucks),Avg - Availability (Lynden/Aldergrove North Trucks),Avg - Delay (Lynden/Aldergrove South Cars),Avg - Queue Length (Lynden/Aldergrove South Cars),Avg - Vehicles In Queue (Lynden/Aldergrove South Cars),Avg - Service Rate (Lynden/Aldergrove South Cars),Avg - Volume (Lynden/Aldergrove South Cars),Avg - Availability (Lynden/Aldergrove South Cars),Avg - Delay (Lynden/Aldergrove South Trucks),Avg - Queue Length (Lynden/Aldergrove South Trucks),Avg - Vehicles In Queue (Lynden/Aldergrove South Trucks),Avg - Service Rate (Lynden/Aldergrove South Trucks),Avg - Volume (Lynden/Aldergrove South Trucks),Avg - Availability (Lynden/Aldergrove South Trucks),Avg - Delay (Pacific Highway North Cars),Avg - Queue Length (Pacific Highway North Cars),Avg - Vehicles In Queue (Pacific Highway North Cars),Avg - Service Rate (Pacific Highway North Cars),Avg - Volume (Pacific Highway North Cars),Avg - Availability (Pacific Highway North Cars),Avg - Delay (Pacific Highway North NEXUS),Avg - Queue Length (Pacific Highway North NEXUS),Avg - Vehicles In Queue (Pacific Highway North NEXUS),Avg - Service Rate (Pacific Highway North NEXUS),Avg - Volume (Pacific Highway North NEXUS),Avg - Availability (Pacific Highway North NEXUS),Avg - Delay (Pacific Highway North Trucks),Avg - Queue Length (Pacific Highway North Trucks),Avg - Vehicles In Queue (Pacific Highway North Trucks),Avg - Service Rate (Pacific Highway North Trucks),Avg - Volume (Pacific Highway North Trucks),Avg - Availability (Pacific Highway North Trucks),Avg - Delay (Pacific Highway North FAST),Avg - Queue Length (Pacific Highway North FAST),Avg - Vehicles In Queue (Pacific Highway North FAST),Avg - Service Rate (Pacific Highway North FAST),Avg - Volume (Pacific Highway North FAST),Avg - Availability (Pacific Highway North FAST),Avg - Delay (Pacific Highway North Bus),Avg - Queue Length (Pacific Highway North Bus),Avg - Vehicles In Queue (Pacific Highway North Bus),Avg - Service Rate (Pacific Highway North Bus),Avg - Volume (Pacific Highway North Bus),Avg - Availability (Pacific Highway North Bus),Avg - Delay (Pacific Highway South Cars),Avg - Queue Length (Pacific Highway South Cars),Avg - Vehicles In Queue (Pacific Highway South Cars),Avg - Service Rate (Pacific Highway South Cars),Avg - Volume (Pacific Highway South Cars),Avg - Availability (Pacific Highway South Cars),Avg - Delay (Pacific Highway South Bus),Avg - Queue Length (Pacific Highway South Bus),Avg - Vehicles In Queue (Pacific Highway South Bus),Avg - Service Rate (Pacific Highway South Bus),Avg - Volume (Pacific Highway South Bus),Avg - Availability (Pacific Highway South Bus),Avg - Delay (Pacific Highway South FAST),Avg - Queue Length (Pacific Highway South FAST),Avg - Vehicles In Queue (Pacific Highway South FAST),Avg - Service Rate (Pacific Highway South FAST),Avg - Volume (Pacific Highway South FAST),Avg - Availability (Pacific Highway South FAST),Avg - Delay (Pacific Highway South NEXUS),Avg - Queue Length (Pacific Highway South NEXUS),Avg - Vehicles In Queue (Pacific Highway South NEXUS),Avg - Service Rate (Pacific Highway South NEXUS),Avg - Volume (Pacific Highway South NEXUS),Avg - Availability (Pacific Highway South NEXUS),Avg - Delay (Pacific Highway South Trucks),Avg - Queue Length (Pacific Highway South Trucks),Avg - Vehicles In Queue (Pacific Highway South Trucks),Avg - Service Rate (Pacific Highway South Trucks),Avg - Volume (Pacific Highway South Trucks),Avg - Availability (Pacific Highway South Trucks),Avg - Delay (Peace Arch North Cars),Avg - Queue Length (Peace Arch North Cars),Avg - Vehicles In Queue (Peace Arch North Cars),Avg - Service Rate (Peace Arch North Cars),Avg - Volume (Peace Arch North Cars),Avg - Availability (Peace Arch North Cars),Avg - Delay (Peace Arch North NEXUS),Avg - Queue Length (Peace Arch North NEXUS),Avg - Vehicles In Queue (Peace Arch North NEXUS),Avg - Service Rate (Peace Arch North NEXUS),Avg - Volume (Peace Arch North NEXUS),Avg - Availability (Peace Arch North NEXUS),Avg - Delay (Peace Arch South Cars),Avg - Queue Length (Peace Arch South Cars),Avg - Vehicles In Queue (Peace Arch South Cars),Avg - Service Rate (Peace Arch South Cars),Avg - Volume (Peace Arch South Cars),Avg - Availability (Peace Arch South Cars),Avg - Delay (Peace Arch South NEXUS),Avg - Queue Length (Peace Arch South NEXUS),Avg - Vehicles In Queue (Peace Arch South NEXUS),Avg - Service Rate (Peace Arch South NEXUS),Avg - Volume (Peace Arch South NEXUS),Avg - Availability (Peace Arch South NEXUS),Avg - Delay (Sumas/Huntingdon North Cars),Avg - Queue Length (Sumas/Huntingdon North Cars),Avg - Vehicles In Queue (Sumas/Huntingdon North Cars),Avg - Service Rate (Sumas/Huntingdon North Cars),Avg - Volume (Sumas/Huntingdon North Cars),Avg - Availability (Sumas/Huntingdon North Cars),Avg - Delay (Sumas/Huntingdon North Trucks),Avg - Queue Length (Sumas/Huntingdon North Trucks),Avg - Vehicles In Queue (Sumas/Huntingdon North Trucks),Avg - Service Rate (Sumas/Huntingdon North Trucks),Avg - Volume (Sumas/Huntingdon North Trucks),Avg - Availability (Sumas/Huntingdon North Trucks),Avg - Delay (Sumas/Huntingdon South Cars),Avg - Queue Length (Sumas/Huntingdon South Cars),Avg - Vehicles In Queue (Sumas/Huntingdon South Cars),Avg - Service Rate (Sumas/Huntingdon South Cars),Avg - Volume (Sumas/Huntingdon South Cars),Avg - Availability (Sumas/Huntingdon South Cars)
2016-01-04 01:30:00,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,1.0,,,,,0.0,1.0,7.0,47.0,6.0,48.0,3.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,,,12.0,1.0,1.0,,,,0.0,0.0,1.0,0.0,,,24.0,,1.0,,,,0.0,0.0,1.0,0.0,,,24.0,1.0,1.0,0.0,0.0,0.0,48.0,1.0,1.0,,,,,0.0,1.0,0.0,,,36.0,0.0,1.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,48.0,1.0,1.0,,,,,0.0,1.0,0.0,,,0.0,0.0,1.0
2016-01-04 01:35:00,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,1.0,,,,,0.0,1.0,6.0,47.0,6.0,60.0,5.0,1.0,,,,,0.0,1.0,0.0,66.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,,,0.0,0.0,1.0,,,,0.0,0.0,1.0,0.0,,,0.0,,1.0,,,,0.0,0.0,1.0,0.0,,,0.0,2.0,1.0,0.0,0.0,0.0,48.0,2.0,1.0,,,,,0.0,1.0,0.0,,,12.0,1.0,1.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,1.0,,,,,0.0,1.0,0.0,,,0.0,0.0,1.0
2016-01-04 01:40:00,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,1.0,,,,,0.0,1.0,7.0,47.0,6.0,48.0,3.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,,,0.0,0.0,1.0,,,,0.0,,1.0,0.0,,,24.0,,1.0,,,,0.0,0.0,1.0,0.0,31.0,25.0,24.0,1.0,1.0,0.0,0.0,0.0,48.0,4.0,1.0,,,,,0.0,1.0,0.0,,,24.0,2.0,1.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,,,0.0,0.0,1.0
2016-01-04 01:45:00,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,1.0,,,,,0.0,1.0,7.0,47.0,6.0,48.0,3.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,48.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,,,24.0,2.0,1.0,,,,0.0,,1.0,0.0,,,36.0,,1.0,,,,0.0,0.0,1.0,3.0,28.0,24.0,36.0,3.0,1.0,0.0,0.0,0.0,48.0,3.0,1.0,,,,,0.0,1.0,0.0,,,0.0,0.0,1.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,48.0,1.0,1.0,,,,,0.0,1.0,0.0,,,0.0,0.0,1.0
2016-01-04 01:50:00,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,48.0,3.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,,,0.0,0.0,1.0,,,,0.0,,1.0,0.0,,,36.0,,1.0,,,,0.0,0.0,1.0,0.0,50.0,31.0,36.0,3.0,1.0,0.0,0.0,0.0,48.0,2.0,1.0,,,,,0.0,1.0,0.0,,,0.0,0.0,1.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,1.0,,,,,0.0,1.0,0.0,,,12.0,0.0,1.0
2016-01-04 01:55:00,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,48.0,2.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,,,0.0,0.0,1.0,,,,0.0,,1.0,0.0,,,0.0,,1.0,,,,0.0,0.0,1.0,2.0,23.0,23.0,0.0,0.0,1.0,0.0,0.0,0.0,48.0,2.0,1.0,,,,,0.0,1.0,0.0,,,0.0,0.0,1.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,,,24.0,2.0,1.0
2016-01-04 02:00:00,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,12.0,0.0,1.0,,,,,0.0,1.0,3.0,66.0,2.0,36.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,,,0.0,0.0,1.0,,,,0.0,,1.0,0.0,,,12.0,,1.0,,,,0.0,0.0,1.0,1.0,,,12.0,3.0,1.0,0.0,0.0,0.0,48.0,3.0,1.0,,,,,0.0,1.0,0.0,,,12.0,0.0,1.0,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,,,12.0,1.0,1.0
2016-01-04 02:05:00,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,48.0,1.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,,,12.0,1.0,1.0,,,,0.0,,1.0,0.0,25.0,8.0,12.0,,1.0,,,,0.0,0.0,1.0,0.0,25.0,8.0,12.0,1.0,1.0,0.0,0.0,0.0,48.0,1.0,1.0,,,,,0.0,1.0,0.0,,,0.0,0.0,1.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,48.0,2.0,1.0,,,,,0.0,1.0,0.0,,,12.0,1.0,1.0
2016-01-04 02:10:00,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,72.0,2.0,1.0,,,,,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,5.0,1.0,0.0,,,0.0,0.0,1.0,,,,0.0,,1.0,1.0,33.0,10.0,0.0,,1.0,,,,0.0,0.0,1.0,1.0,33.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,48.0,1.0,1.0,,,,,0.0,1.0,0.0,,,0.0,0.0,1.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,1.0,,,,,0.0,1.0,0.0,,,0.0,0.0,1.0
2016-01-04 02:15:00,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,48.0,3.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,,,0.0,0.0,1.0,,,,0.0,,1.0,2.0,63.0,19.0,24.0,,1.0,,,,0.0,0.0,1.0,2.0,63.0,19.0,24.0,2.0,1.0,0.0,0.0,0.0,48.0,1.0,1.0,,,,,0.0,1.0,0.0,,,0.0,0.0,1.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,,,0.0,0.0,1.0
2016-01-04 02:20:00,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,48.0,1.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,,,24.0,2.0,1.0,,,,0.0,,1.0,0.0,,,0.0,,1.0,,,,0.0,0.0,1.0,0.0,,,0.0,3.0,1.0,0.0,0.0,0.0,48.0,4.0,1.0,,,,,0.0,1.0,0.0,,,0.0,0.0,1.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,48.0,1.0,1.0,,,,,0.0,1.0,0.0,,,24.0,1.0,1.0
2016-01-04 02:25:00,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,12.0,0.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,,,0.0,0.0,1.0,,,,0.0,,1.0,0.0,,,0.0,,1.0,,,,0.0,0.0,1.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,48.0,3.0,1.0,,,,,0.0,1.0,0.0,,,24.0,2.0,1.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,72.0,2.0,1.0,,,,,0.0,1.0,0.0,,,0.0,0.0,1.0
2016-01-04 02:30:00,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,2.0,1.0,0.0,,,12.0,1.0,1.0,,,,0.0,,1.0,0.0,,,24.0,,1.0,,,,0.0,0.0,1.0,0.0,,,24.0,1.0,1.0,0.0,0.0,0.0,48.0,1.0,1.0,,,,,0.0,1.0,0.0,,,24.0,2.0,1.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,48.0,1.0,1.0,,,,,0.0,1.0,0.0,,,0.0,0.0,1.0
2016-01-04 02:35:00,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,48.0,1.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,,,24.0,2.0,1.0,,,,0.0,,1.0,0.0,,,24.0,,1.0,,,,0.0,0.0,1.0,0.0,,,24.0,2.0,1.0,0.0,0.0,0.0,48.0,3.0,1.0,,,,,0.0,1.0,0.0,,,24.0,2.0,1.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,1.0,,,,,0.0,1.0,0.0,,,0.0,0.0,1.0
2016-01-04 02:40:00,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,12.0,0.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,24.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,,,0.0,1.0,1.0,,,,0.0,,1.0,0.0,,,12.0,,1.0,,,,0.0,0.0,1.0,0.0,,,12.0,3.0,1.0,0.0,0.0,0.0,48.0,1.0,1.0,,,,,0.0,1.0,0.0,,,0.0,0.0,1.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,,,0.0,0.0,1.0
2016-01-04 02:45:00,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,,,12.0,0.0,1.0,,,,0.0,,1.0,0.0,67.0,20.0,24.0,,1.0,,,,0.0,0.0,1.0,0.0,67.0,20.0,24.0,3.0,1.0,0.0,0.0,0.0,48.0,1.0,1.0,,,,,0.0,1.0,0.0,,,0.0,0.0,1.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,,,12.0,2.0,1.0
2016-01-04 02:50:00,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,,,0.0,0.0,1.0,,,,0.0,,1.0,2.0,36.0,11.0,0.0,,1.0,,,,0.0,0.0,1.0,2.0,45.0,17.0,0.0,4.0,1.0,0.0,0.0,0.0,12.0,0.0,1.0,,,,,0.0,1.0,0.0,,,0.0,0.0,1.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,1.0,1.0,0.0,,,12.0,2.0,1.0
2016-01-04 02:55:00,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,48.0,1.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,,,0.0,0.0,1.0,,,,0.0,,1.0,1.0,65.0,19.0,36.0,,1.0,,,,0.0,0.0,1.0,2.0,49.0,20.0,36.0,4.0,1.0,0.0,0.0,0.0,48.0,1.0,1.0,,,,,0.0,1.0,0.0,,,36.0,2.0,1.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,,,12.0,1.0,1.0
2016-01-04 03:00:00,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,12.0,0.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,,,0.0,0.0,1.0,,,,0.0,,1.0,0.0,25.0,8.0,24.0,,1.0,,,,0.0,0.0,1.0,1.0,25.0,8.0,24.0,2.0,1.0,0.0,0.0,0.0,48.0,1.0,1.0,,,,,0.0,1.0,1.0,430.0,144.0,48.0,3.0,1.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,1.0,1.0,0.0,,,0.0,0.0,1.0
2016-01-04 03:05:00,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,48.0,1.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,24.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,,,0.0,0.0,1.0,,,,0.0,,1.0,0.0,,,0.0,,1.0,,,,0.0,1.0,1.0,0.0,,,0.0,3.0,1.0,0.0,0.0,0.0,48.0,1.0,1.0,,,,,0.0,1.0,1.0,,,0.0,0.0,1.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,,,0.0,0.0,1.0
2016-01-04 03:10:00,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,12.0,0.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,,,0.0,0.0,1.0,,,,0.0,,1.0,0.0,,,12.0,,1.0,,,,0.0,0.0,1.0,0.0,,,12.0,2.0,1.0,0.0,0.0,0.0,48.0,2.0,1.0,,,,,0.0,1.0,0.0,,,24.0,0.0,1.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,48.0,1.0,1.0,,,,,0.0,1.0,0.0,,,12.0,1.0,1.0
2016-01-04 03:15:00,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,,,12.0,1.0,1.0,,,,0.0,,1.0,0.0,72.0,22.0,24.0,,1.0,,,,0.0,0.0,1.0,1.0,121.0,40.0,24.0,7.0,1.0,0.0,0.0,0.0,12.0,0.0,1.0,,,,,0.0,1.0,0.0,,,12.0,0.0,1.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,1.0,,,,,0.0,1.0,0.0,,,12.0,1.0,1.0
2016-01-04 03:20:00,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,,,0.0,0.0,1.0,,,,0.0,,1.0,2.0,60.0,18.0,0.0,,1.0,,,,0.0,0.0,1.0,9.0,96.0,39.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,,,36.0,1.0,1.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,,,0.0,0.0,1.0
2016-01-04 03:25:00,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,66.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,,,0.0,0.0,1.0,,,,0.0,,1.0,4.0,63.0,19.0,0.0,,1.0,,,,0.0,0.0,1.0,9.0,82.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0,48.0,2.0,1.0,,,,,0.0,1.0,0.0,,,60.0,1.0,1.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,,,48.0,,1.0
2016-01-04 03:30:00,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,1.0,66.0,2.0,72.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,,,0.0,0.0,1.0,,,,0.0,,1.0,2.0,,,24.0,,1.0,,,,0.0,0.0,1.0,4.0,,,24.0,3.0,1.0,0.0,0.0,0.0,48.0,2.0,1.0,,,,,0.0,1.0,0.0,430.0,144.0,60.0,2.0,1.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,,,0.0,0.0,1.0
2016-01-04 03:35:00,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,36.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,,,0.0,0.0,1.0,,,,0.0,,1.0,0.0,,,24.0,,1.0,,,,0.0,0.0,1.0,0.0,50.0,31.0,24.0,4.0,1.0,0.0,0.0,0.0,12.0,0.0,1.0,,,,,0.0,1.0,2.0,,,72.0,2.0,1.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,,,0.0,0.0,1.0
2016-01-04 03:40:00,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,24.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,,,12.0,1.0,1.0,,,,0.0,,1.0,1.0,62.0,18.0,0.0,,1.0,,,,0.0,0.0,1.0,2.0,56.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,,,120.0,2.0,1.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,48.0,1.0,1.0,,,,,0.0,1.0,0.0,,,12.0,1.0,1.0
2016-01-04 03:45:00,,,,,,0.0,,,,,,0.0,,,,0.0,,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,,,12.0,1.0,1.0,,,,0.0,,1.0,2.0,72.0,22.0,72.0,,1.0,,,,0.0,0.0,1.0,3.0,92.0,44.0,72.0,6.0,1.0,0.0,0.0,0.0,48.0,3.0,1.0,,,,,0.0,1.0,0.0,,,60.0,1.0,1.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,1.0,,,,,1.0,1.0,0.0,,,12.0,1.0,1.0
2016-01-04 03:50:00,,,,,,0.0,,,,,,0.0,,,,0.0,,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,,,24.0,2.0,1.0,,,,0.0,,1.0,2.0,60.0,18.0,24.0,,1.0,,,,0.0,0.0,1.0,6.0,139.0,53.0,24.0,3.0,1.0,0.0,0.0,0.0,12.0,0.0,1.0,,,,,0.0,1.0,0.0,,,12.0,1.0,1.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,,,12.0,1.0,1.0
2016-01-04 03:55:00,,,,,,0.0,,,,,,0.0,,,,0.0,,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,,,12.0,3.0,1.0,,,,0.0,,1.0,4.0,64.0,19.0,12.0,,1.0,,,,0.0,0.0,1.0,12.0,91.0,40.0,12.0,0.0,1.0,0.0,0.0,0.0,48.0,2.0,1.0,,,,,0.0,1.0,0.0,,,0.0,0.0,1.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,48.0,1.0,1.0,,,,,0.0,1.0,0.0,,,12.0,1.0,1.0
